times_used,count
1,1928
2,559
3,259
4,146
5,112
6,83
7,67
8,44
9,30
10,24
11,17
12,13
13,18
14,13
15,15
16,14
17,5
18,5
19,8
20,9
21,8
22,4
23,8
24,1
25,5
26,3
27,4
28,1
29,1
30,1
31,4
32,4
34,4
35,1
36,1
37,1
38,2
39,2
41,3
42,3
43,1
44,2
45,3
46,3
47,1
48,1
49,2
50,1
51,3
53,2
54,1
57,1
58,1
59,1
60,2
64,1
65,2
66,1
67,2
68,2
69,1
70,3
72,2
76,1
78,1
82,1
87,3
89,2
96,1
98,1
107,1
112,1
135,1
140,1
143,1
147,1
151,1
157,1
158,1
177,1
180,1
181,1
185,1
196,1
205,1
255,1
268,1
301,1
385,1
389,1
490,1
637,1
797,1
1026,1
1500,1
