FIPS,State,County,length_r,length_q,quality_r,quality_q,behavior_r,behavior_q,clinical_r,clinical_q,ses_r,ses_q,env_r,env_q
01001,Alabama,Autauga,18,2,6,1,7,1,11,1,4,1,47,3
01003,Alabama,Baldwin,4,1,2,1,2,1,9,1,5,1,64,4
01005,Alabama,Barbour,10,1,46,3,57,4,25,2,56,4,48,3
01007,Alabama,Bibb,44,3,41,3,46,3,29,2,25,2,25,2
01009,Alabama,Blount,12,1,7,1,9,1,39,3,13,1,19,2
01011,Alabama,Bullock,30,2,56,4,63,4,41,3,62,4,13,1
01013,Alabama,Butler,48,3,52,4,54,4,50,3,58,4,62,4
01015,Alabama,Calhoun,35,3,29,2,51,4,30,2,31,2,27,2
01017,Alabama,Chambers,55,4,50,3,53,4,33,2,40,3,49,3
01019,Alabama,Cherokee,56,4,15,1,17,1,36,3,22,2,36,3
01021,Alabama,Chilton,40,3,18,2,45,3,45,3,32,2,40,3
01023,Alabama,Choctaw,63,4,39,3,28,2,28,2,50,3,51,4
01025,Alabama,Clarke,32,2,55,4,40,3,31,2,59,4,59,4
01027,Alabama,Clay,9,1,45,3,43,3,63,4,29,2,39,3
01029,Alabama,Cleburne,41,3,5,1,13,1,54,4,15,1,45,3
01031,Alabama,Coffee,3,1,16,1,12,1,21,2,6,1,29,2
01033,Alabama,Colbert,29,2,31,2,14,1,8,1,16,1,26,2
01035,Alabama,Conecuh,54,4,64,4,58,4,67,4,60,4,65,4
01037,Alabama,Coosa,34,2,49,3,49,3,43,3,53,4,41,3
01039,Alabama,Covington,21,2,30,2,29,2,55,4,27,2,14,1
01041,Alabama,Crenshaw,16,1,23,2,36,3,48,3,20,2,15,1
01043,Alabama,Cullman,20,2,14,1,25,2,17,1,8,1,12,1
01045,Alabama,Dale,8,1,13,1,33,2,19,2,23,2,4,1
01047,Alabama,Dallas,60,4,63,4,66,4,13,1,66,4,38,3
01049,Alabama,DeKalb,24,2,24,2,16,1,64,4,38,3,31,2
01051,Alabama,Elmore,7,1,3,1,15,1,10,1,11,1,35,3
01053,Alabama,Escambia,43,3,47,3,59,4,62,4,52,4,58,4
